AT,BE,CH,DE,DK,ES,FI,FR,GB,IE,IT,NL,NO,PT,SE
0.69848496,1.8976628,1.897827,0.8259098,1.994163,1.2598878,1.2519174,1.3202106,2.2566478,1.3498106,0.8363855,0.40873834,1.1687884,1.6633706,1.3651159
1.205313,1.8680092,1.9103761,0.9303013,2.0215094,1.2500986,1.090606,1.3221185,2.1479778,1.1682756,0.83541775,0.3626387,1.1314756,1.843186,1.3496748
0.9163229,1.7360733,1.8423444,0.6282355,1.4986767,1.2672697,1.162529,1.3491845,2.16975,0.8865141,0.949358,0.11787132,0.95444643,1.7701744,0.99722195
-0.007728954,0.8404257,1.120317,-0.6613694,0.12420768,0.2352224,0.5268236,1.0661662,1.4900621,0.03774142,-0.527729,-1.006317,0.72548515,0.73549,0.40957573
-0.12530473,0.5449095,0.7405989,-1.2140507,0.08951452,-0.19541028,0.38215458,1.0655627,1.3142934,-0.2882969,-1.2546126,-1.3964037,0.8029127,0.15620139,0.6777865
-0.08709587,2.0696516,2.2524827,0.7917066,1.684031,1.6084183,1.3278005,1.9573578,2.3459656,1.1830343,0.5132566,0.27461675,1.4966726,1.7155786,1.5024945
0.53911924,2.267556,2.2708507,0.99350464,1.924736,1.9296592,1.7502514,2.1741638,2.561405,1.275345,0.8768418,0.35274798,1.5234979,2.0239804,1.5916542
-0.3966016,2.279986,2.375588,0.9774261,1.8944697,1.9711545,1.9925665,2.2307253,2.5360749,1.116351,0.9362769,0.3186134,1.5020156,2.236185,1.5816088
-0.16991702,2.4247985,2.3892326,1.0418295,1.7475346,1.883262,2.1677065,2.2626631,2.4514358,1.0968958,0.9300258,0.44281563,1.6944019,2.1326075,1.5701303
-0.0023365573,2.312685,2.351437,0.8778344,1.57041,1.7286469,2.100239,2.3603334,2.4213371,0.8925519,0.83246493,0.46200022,1.7772428,1.6689986,1.6601614
-0.619705,1.2159647,1.2380081,-0.3209631,0.5707084,0.4988135,1.2380079,1.7651554,1.4564141,-0.04168875,-0.50171703,-0.8707459,1.082855,0.27956325,1.0884614
-0.78349406,0.5858143,0.7046944,-1.0553669,0.075696036,-0.33508897,0.7139405,1.4470221,1.2473031,-0.67109,-1.2502211,0.24528565,0.98639035,-0.35954496,0.79164577
0.4194789,1.714219,2.4636478,0.9531944,1.6653651,1.4349846,1.1591084,1.9718016,2.078549,0.53605676,0.59378195,0.23792422,1.1303719,1.3283685,1.4125477
0.26301992,1.7790906,2.3371732,0.98796,1.6027852,1.5506839,1.0078192,1.9144999,2.262241,0.7598559,0.8745956,0.122305095,1.1132513,1.4755163,1.4278196
0.553611,1.9199226,2.388972,1.183986,1.8257399,1.4609137,1.0717906,1.8927811,2.168118,0.9195205,0.9840521,0.46958882,0.9212437,1.5049098,1.2926612
0.42386025,1.8780838,2.3710918,1.1146952,1.942799,1.4336374,1.1409032,1.8842759,2.4543667,1.1913536,1.0006665,0.33347812,1.0417984,1.6451087,1.3480171
-0.40730196,1.9618033,2.4669855,0.83932996,1.5604595,1.2855159,1.2126725,1.9506553,2.4110115,0.93642616,0.87181073,0.29172635,1.109074,1.6157644,1.3396156
-0.8298757,0.96123135,1.1625097,-0.5236397,0.32348225,0.13087508,0.7555216,1.4520962,1.5492461,0.15983754,-0.32303303,-0.89419377,0.875558,0.2279634,0.94181
-0.10403085,0.6899657,0.33710772,-1.1214689,0.22852422,-0.41568542,0.5318831,1.3391057,1.415452,-0.36142123,-1.1774186,-1.466179,0.9921713,-0.25422162,0.8905986
1.4414331,2.038129,1.6162609,0.9542619,1.7637013,1.5627521,1.2466348,2.1646736,2.5650442,0.9613822,0.55940795,0.2718883,1.5733688,1.603934,1.766265
1.3291234,2.2381053,1.7504727,1.0742394,1.8606352,1.7994251,1.3152121,2.4167895,2.499595,1.2116129,0.9616993,0.1217935,1.6868153,1.832634,1.8668617
1.2424264,2.2888818,1.6857613,1.1233848,1.9586078,2.0537148,1.3168552,2.524005,2.42711,1.2207372,1.0527495,0.32421225,1.8043275,1.8506308,1.8828502
0.67367244,2.431257,1.8453562,1.1248561,1.8322476,1.996796,1.3188874,2.624561,2.5977688,1.1724353,1.0328622,0.29550663,1.8133947,1.9854244,1.7929173
0.80915225,2.3115075,1.8329501,1.0090213,1.4229021,2.022252,1.2283418,2.8522172,2.2638633,0.9326691,1.009921,0.2145903,1.4272106,2.1218524,1.3942267
0.38514587,1.1327326,0.78288424,-0.30192906,0.31237447,0.9319402,0.6080627,2.0666718,1.4346428,-0.07482953,-0.23041013,-0.8299327,0.95285255,0.85869884,0.6991562
-0.12370424,0.47475675,0.35382026,-0.9239462,0.13971499,0.0037524377,0.71743387,1.5576373,1.0615314,-0.39107302,-0.98656136,-1.4770929,0.9155058,0.21581225,0.78439605
1.4183055,1.9253255,1.6254706,1.0487572,1.1407104,1.8218,1.3735138,2.1435273,1.8552041,1.0100867,0.8558691,0.012313442,0.9727098,1.8163558,1.0072535
1.2916723,2.1324506,1.6081537,0.989166,1.1447724,1.9269288,0.7192052,2.1173923,2.1886349,1.1547245,1.0468944,0.09078574,0.84129405,2.069449,0.91920346
1.5946487,2.0763938,1.5658125,0.96665245,1.2989541,1.7947959,0.7081363,1.941184,2.3778298,1.1124603,1.0019876,0.28899786,0.9314765,1.9313171,1.0348896
1.2299572,2.0571396,1.4174047,0.92560273,1.3931134,1.6709406,0.9347033,1.90506,2.3697546,0.9192524,0.89422196,0.29877535,1.1001126,1.7122191,1.0809028
0.90039897,1.6855813,0.96631277,0.71793157,1.1987914,1.3143979,1.1446574,1.644633,2.1046503,0.77971286,0.8760168,-0.1170613,1.1086673,1.7565567,1.1255107
0.03818911,0.43722314,0.19684479,-0.6389061,0.12032113,0.15452518,0.7012313,0.94938636,1.2186564,-0.3854378,-0.23502037,-1.3659928,0.7152694,0.45970112,0.6716044
-0.35615984,-0.12699963,-0.07922957,-1.2077482,0.19013505,-0.63943017,0.9474935,0.73889273,0.8826175,-0.75521594,-1.1773177,-1.9149559,0.68002367,-0.32689774,0.64451617
0.8619368,1.4970602,1.0867382,0.51175,1.6447228,0.9216773,1.5097227,1.6245732,1.9746392,0.46320128,0.50877297,-0.31587094,1.1466438,0.74102795,1.5125681
0.90566444,1.8108557,1.2077109,0.8748978,1.5935202,1.327556,1.3271917,1.6620641,1.9359359,0.81701326,0.6991586,-0.21227416,1.0570526,-0.16532212,1.480914
1.2486191,1.9011558,1.3963217,0.96419543,1.4524144,1.3133948,0.8744421,1.7191943,1.7008579,0.72161686,0.8094733,0.0057480494,0.69928634,1.2382333,1.0947279
1.061997,1.795623,0.0029964242,1.027645,1.5880953,1.1219863,0.8570509,1.6785489,1.8737226,0.5369955,0.793254,-0.121665604,0.5825916,1.2642256,0.9450977
1.021345,1.6528822,0.6836052,0.7936391,1.3924963,1.0952119,0.80261445,1.5501754,1.8982635,0.5726858,0.7489442,0.14808372,0.59914434,1.4679947,0.93148345
-0.47824335,0.6659188,-1.5409184,-0.55136335,0.093092,0.03378067,0.39838317,1.0838467,0.9798678,-0.26012075,-0.31920555,-1.2082808,0.50203365,0.029557055,0.49969104
-0.35076743,0.18196242,-0.10046447,-1.1746055,-0.23584536,-0.6836484,0.28632373,0.9453944,1.1004138,-0.5830734,-1.1986772,-1.6599859,0.54364115,-0.5216795,0.5079102
1.0055895,1.4916173,1.2507166,0.9402858,1.5112205,1.0171088,0.7206225,1.4745861,1.9695923,1.0350428,0.45723727,-0.12837355,1.0163362,1.1594955,1.3286567
1.3167381,1.7272183,1.3303986,0.97111064,1.4951049,1.2737056,0.75768554,1.6030296,2.0689409,1.0507408,0.8455973,-0.1757808,0.8955378,1.3879025,1.0420688
1.1617956,1.8680502,0.765918,0.8246404,1.2238675,1.2077144,0.6010932,1.4806423,1.9821414,0.73194784,0.8398092,0.037722368,0.7791324,1.3937546,0.86553353
1.2831633,1.7391198,1.003284,0.877626,1.2914413,0.9793405,0.60756445,1.3739096,1.8402265,0.61038786,0.74532735,0.047499847,0.9628565,1.3656878,0.9180378
1.1159616,1.4244711,0.039024927,0.87636906,0.93384105,0.72424936,0.78555405,1.3464857,1.7689424,0.5732219,0.6424831,-0.29384398,0.78807306,1.0074031,0.9845771
0.2839571,0.47114182,-1.0013009,-0.25695166,-0.23433314,-0.45131847,0.33573842,0.91230434,0.88834494,-0.38731593,-0.5652241,-1.4511437,0.49713534,-0.08270852,0.36679414
-0.6529011,-0.1494623,-0.76041704,-0.6627714,0.06406716,-1.1632295,0.13792185,0.3234936,0.61447465,-0.66773623,-1.3555979,-1.9907563,0.37196666,-0.72522527,0.5186444
0.6572849,1.432595,1.1581508,0.939509,1.2590685,0.348929,0.6970002,0.89641535,1.8888882,0.6522496,0.39549682,-0.36398828,0.66838676,0.7971051,0.9995263
0.671524,1.8128057,1.1802118,1.0570744,1.2255279,0.38633916,0.7374749,1.0249875,1.9859596,0.9609797,0.5227626,-0.114020415,0.7985444,0.814556,1.0134494
1.2327375,1.7680012,1.5383967,1.1267003,1.3812399,0.51816356,0.70861673,1.2240473,1.9373878,0.8344551,0.6562204,-0.03725341,0.895026,0.57077926,1.1055458
1.3771479,1.5909761,1.2364788,1.0340617,1.0786394,0.648053,0.72152156,1.3159499,1.8919444,0.6471513,0.67814416,-0.17038047,0.92109966,0.56643534,0.9762599
1.0759833,1.3935181,1.0136849,0.83189076,0.85267884,0.5263766,0.795065,1.2032938,1.3925337,0.39316344,0.6602332,-0.30399048,0.55326957,0.39845598,0.6997318
0.1216002,0.13402957,0.075133406,-0.31092834,-0.2837586,-0.7683447,0.32559466,0.5127087,0.32616463,-0.46647802,-0.5673354,-1.4506887,0.14860967,-0.824662,0.19857644
-0.72262114,-0.5107442,-0.29672712,-0.9497818,-0.6456416,-1.4259317,-0.07198277,0.086864986,0.3432034,-1.1021851,-1.326305,-2.137952,-0.017616017,-1.5322776,-0.112752795
0.9162385,1.0180601,0.73468834,0.6528337,0.5170257,0.2128912,0.40856466,0.64888245,1.702615,0.17714575,0.33043364,-0.43885082,0.57402706,-0.05646505,0.53390247
0.86909854,1.2518731,0.2617978,0.82716024,0.8099965,0.34009984,0.5849641,0.79933685,1.5303965,0.26543128,0.54407203,-0.6036964,0.5180727,0.22690852,0.6363116
0.9549953,1.2944031,-0.04659111,0.6689945,0.61502326,0.27256066,0.44860908,0.6340099,1.6389942,0.36834106,0.56263053,-0.490095,0.47156888,0.32363573,0.65222955
0.8444963,1.1746124,0.5601594,0.6751519,0.61058944,0.22344035,0.5386742,0.65490687,1.4983081,0.5170041,0.64638627,-0.5375022,0.5240258,0.44745913,0.7244037
0.8721317,0.9981966,-0.9295565,0.5753387,0.55094796,0.25610638,0.65235263,0.7955866,1.4953678,0.26704136,0.43242848,-0.50399315,0.4460096,0.2890956,0.6382221
-0.15563603,0.072164424,-2.1407933,-0.6337967,-0.5957543,-0.5708731,0.22651687,0.48491475,0.85132724,-0.4584277,-0.66003406,-1.2788235,0.21307147,-0.880285,0.21518329
-0.7373652,-0.18232515,-1.0489552,-1.2529086,-0.588561,-1.1582414,-0.006679217,0.41114792,0.7312468,-0.928298,-1.3835022,-1.9235963,0.12745814,-1.4522198,0.08224424
0.75902116,0.9655375,-0.42036945,0.52098316,0.8476583,0.50552154,0.57133865,0.9925202,1.7760773,0.15903251,0.44623357,-0.67665446,0.47953758,-0.03441817,0.34697014
0.54682845,0.8962387,-0.17846063,0.49610075,0.7622732,0.7634225,0.49561343,0.8030444,1.6988865,-0.86604244,0.6199536,-0.51749367,0.3918278,0.54396945,0.50710934
0.7500901,1.1174589,-0.22493576,0.40615895,0.4407098,0.8333549,0.38734037,0.58636236,1.6719608,0.2454399,0.56826645,-0.3154726,0.41457352,0.5208481,0.49017978
0.67291415,1.376823,-0.672457,0.4378743,0.46280217,0.12797995,0.3654284,0.75896424,1.7119633,0.38658872,0.4292903,-0.30609345,0.5736809,0.28646293,0.51678985
0.5138431,1.2910318,-2.3318503,0.33954543,0.45280692,0.4474142,0.4938482,0.8109655,1.3583301,0.21082349,0.35244972,-0.3108683,0.5688771,0.21589573,0.66117966
-0.106979564,0.22558914,-2.8194215,-0.7825659,-0.40186864,-0.40387514,0.2981366,0.37059605,0.46208218,-0.768499,-0.67315775,-1.4260472,0.3516893,-0.88930756,0.42777044
-1.0855013,-0.12517169,-1.8647847,-1.4584271,-0.45663655,-1.039618,0.28534025,0.22821464,0.34660995,-1.2800974,-1.3912755,-2.0406935,0.4695839,-1.4435958,0.5543871
0.34141824,1.1099854,-0.07762081,0.41675562,0.7882875,0.7390125,0.6495182,0.8297555,1.172487,-0.14526992,0.05761249,-0.6333972,0.5305167,0.12077417,0.82743055
0.47685564,1.2913165,-0.00683836,0.5493575,0.7802071,0.9646633,0.36962178,0.98591125,1.1923139,0.22746031,0.41340703,-0.524542,0.4813016,0.43736127,0.5764733
0.36147028,1.5307351,0.17366292,0.50347066,0.9352795,0.8533789,0.6469438,1.1462067,1.1947877,0.4292555,0.5810794,-0.25732198,0.66023815,0.47935182,-0.7121165
0.22127241,1.4162655,0.055622086,0.64466155,0.9607774,0.57720286,0.7401392,1.2085396,1.2940372,0.22263011,0.47283426,-0.28779018,0.9853545,0.61999106,1.0201657
-0.16903237,1.1302545,-1.0257854,0.5278291,0.6316233,0.41178113,0.7233403,0.86110514,1.0006266,0.09114167,0.25011024,-0.6329136,0.7246449,0.26760113,0.7161984
-0.6895514,0.31288356,-3.946267,-0.8726598,-0.39175373,-0.8842584,0.11755271,0.13535368,0.2207844,-0.7411279,-0.9280687,-1.3671292,0.2887816,-0.9128414,-0.09457227
-1.2790318,-0.21855825,-2.398544,-1.366988,-0.62850714,-1.6621317,-0.11716357,-0.16284867,-0.026509758,-1.1715524,-1.7170795,-1.9102097,0.0628588,-1.5962045,0.035781503
-0.13752167,1.0866277,-0.35961717,0.6669921,0.8440878,-0.3153519,0.6561095,0.4006058,1.011616,0.24557355,-0.047149822,-0.6132461,0.34833142,-0.14643906,0.6425213
-0.017207487,1.1274925,0.11978498,0.94036156,1.213788,-0.2968047,0.5558657,0.42125377,1.1409993,0.35854703,0.2272274,-0.3887151,0.44128078,-0.114161745,0.76053953
0.6609919,1.075782,0.35703492,0.83825654,0.930087,-0.4823646,0.55166405,0.619562,0.7136526,0.32446676,0.2210189,-0.4844675,0.21066697,-0.21574269,0.5641236
0.6483963,1.2707218,-1.0561472,0.53078467,-0.59615284,-1.6406316,0.5797048,0.7297836,0.49383876,0.23269302,0.13912207,-0.53699064,-0.09438353,-0.45469433,0.5396908
-0.23365523,1.2190112,-2.6781416,-1.5059242,-0.93934554,-2.3623614,-0.00091073994,0.5865223,-0.1116245,-0.33592826,-0.17754552,-0.7159616,-0.1195217,-1.6135508,-0.076110855
-0.45056602,0.010217398,-3.2292528,-1.5602609,-1.1485654,-1.9387807,-0.10818245,0.11088535,-0.36254033,-1.0282565,-1.3945564,-1.6106455,-0.1396312,-1.9020293,-0.22203189
-0.926304,-0.6741207,-2.9499702,-2.1674619,-1.3711982,-2.263418,-0.34089813,-0.112307765,-0.8107446,-1.8022957,-2.2214916,-2.4868844,-0.10142231,-2.646343,-0.32819226
-0.95031625,-0.36324984,-1.8213665,-1.9586159,-1.1780579,-1.507245,-0.28098902,-0.06011553,-0.6808318,-1.7432601,-2.1591287,-2.0319393,-0.09655563,-1.5589753,-0.22707598
0.6024778,0.79411805,-0.24520576,0.2932856,0.6214439,-0.33258086,0.21131912,0.45331976,-0.04834409,-0.5975639,-0.0059529776,-0.65036494,-0.0044722897,-0.56468976,0.14782862
0.57956094,0.8110569,-0.17407481,0.34137014,0.44924802,-0.056275815,0.14524552,0.33253264,0.058953706,-0.5021676,0.33599463,-0.73685145,0.03569259,-0.23751704,0.24768043
0.41893142,0.6430087,-0.47380522,0.17824061,0.28693002,0.053689755,0.047455247,0.10224391,0.036725275,-0.5908556,0.28965795,-0.87697023,0.10400477,-0.239689,0.16569994
-0.15938549,0.42743418,-1.6101863,-0.019787736,-0.094463624,-0.06421674,0.0027143757,-0.09738448,-0.09173546,-0.61970234,0.12523337,-1.0542645,-0.1402808,-0.3363671,0.03675094
-1.1093453,-0.4393329,-1.9176452,-1.1627074,-1.1620265,-1.049709,-0.543348,-0.5741507,-0.8824767,-1.3552343,-1.0626199,-1.931725,-0.37883854,-1.5818462,-0.49038294
-1.767661,-1.0136293,-1.807347,-1.8010873,-0.9678981,-1.7282807,-0.6697967,-0.8719167,-0.89264095,-1.6082827,-1.8475592,-2.607477,-0.43529123,-2.11436,-0.35352403
-0.48523623,0.5759025,-0.6674382,0.21569,0.41542047,-0.35793617,-0.20905016,-0.3190862,0.45785213,-0.37430176,-0.26952052,-0.966896,0.033668477,-0.6579119,0.15857671
-0.12433614,0.43100816,-0.708229,0.3619394,0.74290544,-0.13459325,-0.11908731,-0.3704252,0.6464287,-0.30828908,0.017812401,-1.0739034,0.14565009,-0.44042033,0.42692745
-0.29183218,0.32584095,-0.70673275,0.36788186,0.5884692,-0.023609785,-0.20617725,-0.44962865,0.5706446,-0.26602483,0.031305976,-1.0681627,0.00045599687,-0.28448737,0.33339804
-0.39251545,0.39229688,-0.7104507,0.20009108,0.36378333,-0.20891906,-0.055684164,-0.42106357,0.6242179,-0.47493088,0.14136034,-0.89882666,-0.024261054,-0.24461232,0.18671831
0.086087294,0.3669495,-1.2605908,-0.038986377,-0.060808033,-0.20479843,-0.0033094108,-0.41138598,0.45637318,-0.61473775,0.070517704,-1.0693843,-0.094598,-0.28325164,0.19164978
-1.2041726,-0.57618433,-1.9990914,-1.3623338,-1.2661253,-1.2426507,-0.43770424,-0.8669591,-0.3412791,-1.5458927,-1.1103952,-2.1597233,-0.45463997,-1.3421475,-0.40792468
-1.3180413,-0.88494265,-1.5912435,-1.9920174,-1.6318135,-1.8864635,-0.70827156,-1.0133051,-0.314587,-1.8208114,-1.8260901,-2.5206492,-0.69683653,-1.9590975,-0.69923294
-0.113383,0.5428778,-0.7554468,-0.10702678,-0.19260234,-0.40509328,-0.26222172,-0.3625665,0.594415,-0.74475056,-0.3114741,-1.0607727,-0.49428302,-0.4862523,-0.22218665
-0.3472288,0.6060844,-0.66072094,0.10201502,-0.035999727,-0.23290645,-0.31248537,-0.38851857,0.5332858,-0.65566075,-0.066398025,-0.980226,-0.48976249,-0.27029684,-0.34738404
-0.03237314,0.40683943,-0.32286826,0.09038879,-0.0788506,-0.27348384,-0.2550854,-0.4238518,0.5485952,-0.6478785,0.005117763,-0.73443604,-0.4778645,-0.21530241,-0.2603318
-0.024874732,0.5215519,-0.66021764,0.028107325,0.055365693,-0.49047014,-0.17711386,-0.39443022,0.5044963,-0.682763,0.0051430007,-0.8375492,-0.45579642,-0.2102678,-0.23040578
-0.14653665,0.37596732,-1.9930506,-0.053764127,-0.2287601,-0.37710014,-0.12887965,-0.44860053,0.32092118,-0.7000712,-0.10354814,-1.0008887,-0.26433086,-0.07446836,-0.22536169
-1.1734622,-0.54677457,-1.9090204,-1.3014164,-1.1968092,-1.2190436,-0.5734971,-0.9489548,-0.38927698,-1.4070245,-1.7094325,-2.0080936,-0.46175763,-1.3343959,-0.7271075
-1.8303457,-0.81694347,-1.4880322,-1.925694,-1.2930064,-1.779035,-0.7266929,-1.1282467,-0.43162805,-1.7651297,-1.9474419,-2.4834166,-0.57291067,-1.8373282,-0.7100792
-0.6113639,0.44104183,-0.5412736,0.16698678,0.114454694,-0.34916416,-0.18324883,-0.32495472,0.6838229,-0.427702,-0.082449295,-2.4898114,-0.120259315,-0.42872256,-0.080410086
0.09219602,0.551571,0.15265195,0.2404522,0.17819536,-0.27623585,-0.27548066,-0.13475457,0.33605075,-0.1293029,0.055072144,-0.92599756,-0.009799533,-0.20631507,-0.09479717
-0.0061704265,0.7045492,-0.04689275,0.21111755,0.20972352,-0.23117165,-0.022714965,-0.096484885,0.7033892,-0.22630936,0.0422174,-0.7711852,-0.13636002,-0.205617,-0.057480842
0.2585966,0.6553977,-0.39211053,0.05374755,0.19493137,-0.22520941,-0.3211446,-0.1121128,0.7135896,-0.37564296,-0.12558077,-0.85198766,-0.12609927,-0.20743951,-0.13104561
-1.2269211,-0.89676327,-1.0564283,-2.0123713,-1.2822466,-2.048202,-0.95580167,-0.83493185,0.5647558,-0.45373115,-1.9728565,-1.0000926,-0.49015102,-1.4528205,-0.5954471
-1.3236865,-0.7795317,-2.0438092,-1.7203401,-1.6038983,-1.6230875,-0.7989365,-0.76752865,-0.2109008,-0.97485626,-1.6718194,-2.2727845,-0.52699775,-1.5549604,-0.6027811
-1.7561604,-0.9812549,-1.2672241,-1.8377415,-1.5168214,-1.9368597,-0.93216157,-1.0788506,-0.51815873,-1.6581948,-1.9543489,-2.5439265,-0.6153989,-1.8185285,-0.8356283
-0.2530334,0.3296596,-0.4235167,0.0433901,0.17660181,-0.24268898,-0.43590334,-0.44923142,-0.46194187,-1.724073,-0.18643752,-1.4023435,-0.17442027,-0.22270538,-0.039286483
-0.21979533,0.35191947,0.0308486,0.32685173,0.25712147,-0.08677705,-0.58328396,-0.466982,0.45178348,-0.5357109,0.1715527,-1.7703753,-0.33255145,-0.22203432,-0.24961172
-0.19022231,0.3598815,0.051390532,0.21380785,0.076122455,-0.1690794,-0.7249682,-0.411865,0.59897697,-0.2669635,0.20718855,-1.0554862,-0.5756698,-0.15349913,-0.3944227
-0.0776593,0.5000232,-0.2768673,0.22724697,0.20106794,-0.16017836,-0.6605521,-0.38863906,0.5951948,-0.43226412,0.1690794,-1.108379,-0.4283825,-0.12324728,-0.42665315
-0.39015618,0.34546077,-1.2331636,-0.029399786,-0.24151659,-0.102701895,-0.5213269,-1.013492,0.50491726,-0.23221347,0.19202928,-1.1790069,-0.41778862,-0.034697235,-0.45840544
-1.9171691,-0.7824564,-1.9473095,-1.2668847,-1.1725714,-1.1292304,-0.91970456,-1.1310703,-0.36677966,-1.3186053,-0.9865953,-2.046321,-0.5437334,-1.2853583,-0.84415627
-2.46764,-1.2467111,-1.7711226,-1.917333,-1.3503956,-1.771653,-1.1754982,-1.3169047,-0.6144864,-1.6049281,-1.7433857,-2.8612251,-0.6915188,-1.8397579,-0.6983758
-1.002975,0.1766414,-1.0062175,0.10685863,-0.10738802,-0.14297828,-0.5799862,-0.6410011,0.20785975,-0.60856634,-0.13506153,-1.1368289,-0.32920432,-0.3720382,-0.40628085
-1.0453968,0.25390217,-0.6345152,0.24103953,0.21436067,0.11893581,-0.5411957,-0.56246763,0.29090315,-0.5842809,0.18069749,-1.1139779,-0.39860743,-0.0488804,-0.2824602
-1.1234155,0.20223251,-1.6802661,0.07436653,0.17193621,0.24065454,-0.2902975,-0.5594377,0.33426765,-0.78527105,0.2896406,-1.2845649,-0.47723317,0.131075,-0.2752527
-2.5037847,-1.1345168,-2.0766842,-1.8846514,-1.3756169,0.42713222,-0.7862774,-1.105897,0.6148334,-0.5334294,0.31220323,-2.5922718,-0.67550415,-0.12580305,-0.668787
-1.4579026,-0.6702621,-2.0199819,-0.95083624,-1.1452417,-0.2450466,-0.5611812,-0.7651646,0.3726567,-0.54630995,0.31198478,-1.9295361,-0.5103925,-0.21350117,-0.46173522
-2.13488,-0.78335035,-2.5430923,-1.4717773,-1.4774331,-1.1972855,-0.9190927,-0.98852897,-0.61035466,-1.479075,-1.0299538,-2.2133827,-0.6788421,-1.2281429,-0.8063203
-2.4285464,-1.2870076,-1.9528327,-1.9635987,-1.5040324,-1.7449359,-1.1619875,-1.244205,-0.7870817,-1.783243,-1.6749911,-2.6789289,-0.8052227,-1.7027154,-0.61690116
-0.6791463,0.16331747,-0.6078222,-0.010024121,0.0011444715,-0.09517687,-0.56517214,-0.5415666,0.38240838,-0.70946354,-0.025866035,-0.89695084,-0.45265463,-0.19874515,-0.2599525
-0.28226924,0.38661027,-0.16819109,0.28429937,0.111924075,-0.0026545892,-0.64533645,-0.3796705,0.5739159,-0.48821393,0.3406802,-0.91619205,-0.4464216,-0.21258624,-0.20185651
-0.20997962,0.41297254,0.08964193,0.13422944,0.03550534,-0.22508042,-0.67158866,-0.2732028,0.5137371,-0.5143775,0.35223046,-1.0758078,-0.5261415,-0.18982738,-0.279355
-0.24199633,0.36975232,-0.14194253,0.13158295,0.0326918,-0.26072755,-0.68920505,-0.27217066,0.31927165,-0.3827546,0.17461516,-1.1032631,-0.52826995,-0.15143193,-0.46500903
-0.18482992,0.28249887,-1.8814938,-0.05663738,-0.26566494,-0.23446856,-0.78785044,-0.38791472,0.24337164,-0.62761825,0.06181065,-1.1496472,-0.56205803,-0.17540607,-0.6010388
-0.9469884,-0.77181345,-2.6894093,-1.4653233,-1.5007634,-1.1811316,-1.1922832,-0.9727883,-0.68375397,-1.5139594,-1.0681134,-2.2365468,-0.9173356,-1.3378805,-1.1615409
-1.9152734,-1.3312836,-2.691828,-2.4211783,-1.9158765,-1.9006826,-1.3846534,-1.3077999,-1.0290786,-2.0299854,-1.8682625,-3.0972667,-0.8925684,-1.8079135,-1.1764337
-2.2532985,-1.2557698,-1.852431,-2.1768274,-1.5117742,-0.38051128,-0.7397034,-1.1395482,-0.6965891,-0.8638954,-0.20894967,-2.6162877,-0.8785296,-0.29883093,-0.42184812
-0.6834432,0.11985355,-0.49763548,-0.1503624,-0.11436697,-0.10969614,-0.8276691,-0.49498993,0.0034628727,-0.72220963,0.07425291,-1.0527011,-0.6017392,0.062575,-0.4187429
